offence,model,n_train,n_test,rmse,mae,r2
assault,Linear regression,1327,149,159.28949248095196,108.80525692038798,0.9053972434329203
assault,Naive baseline,1327,149,138.8584395437785,99.3458844895331,0.9281090711201302
autotheft,Linear regression,1326,149,181.5049218587693,160.15529888483434,-0.41086782940217326
autotheft,Naive baseline,1326,149,108.89720403435918,82.85211755125312,0.492141206269766
biketheft,Linear regression,1289,140,44.89939263288591,29.618664042354027,0.8384813324729267
biketheft,Naive baseline,1289,140,55.93385639846502,32.59139770099099,0.7493363744502963
breakenter,Linear regression,1327,149,64.78151171043527,50.25717570636816,0.6048572677288475
breakenter,Naive baseline,1327,149,71.73123817937838,54.168817635350564,0.5155282067405534
robbery,Linear regression,1322,149,45.99145926297455,33.299832734529204,0.04059257246208503
robbery,Naive baseline,1322,149,59.69894712617852,41.844044451745596,-0.6165235686646298
theftfrommv,Linear regression,1327,149,102.1000526781125,76.86374335352478,0.26856701611656497
theftfrommv,Naive baseline,1327,149,104.85757055036773,74.00785773872535,0.22852440654515538
theftover,Linear regression,1298,149,22.416319489734313,17.178577339145477,0.7406095032720028
theftover,Naive baseline,1298,149,27.845730840344782,21.35630871625555,0.5997395428857196
