offence,predictor,importance
assault,assault_lag1,0.8745
assault,autotheft_lag1,0.011
assault,breakenter_lag1,0.0131
assault,robbery_lag1,0.0269
assault,theftover_lag1,0.02
assault,theftfrommv_lag1,0.0153
assault,biketheft_lag1,0.0207
assault,year_index,0.0186
autotheft,assault_lag1,0.0278
autotheft,autotheft_lag1,0.4752
autotheft,breakenter_lag1,0.0173
autotheft,robbery_lag1,0.019
autotheft,theftover_lag1,0.1074
autotheft,theftfrommv_lag1,0.146
autotheft,biketheft_lag1,0.0953
autotheft,year_index,0.112
breakenter,assault_lag1,0.2835
breakenter,autotheft_lag1,0.0207
breakenter,breakenter_lag1,0.28
breakenter,robbery_lag1,0.0577
breakenter,theftover_lag1,0.0739
breakenter,theftfrommv_lag1,0.1229
breakenter,biketheft_lag1,0.139
breakenter,year_index,0.0222
robbery,assault_lag1,0.0849
robbery,autotheft_lag1,0.0269
robbery,breakenter_lag1,0.0382
robbery,robbery_lag1,0.6917
robbery,theftover_lag1,0.0314
robbery,theftfrommv_lag1,0.0292
robbery,biketheft_lag1,0.0516
robbery,year_index,0.046
theftover,assault_lag1,0.1154
theftover,autotheft_lag1,0.0473
theftover,breakenter_lag1,0.0696
theftover,robbery_lag1,0.0623
theftover,theftover_lag1,0.4893
theftover,theftfrommv_lag1,0.0926
theftover,biketheft_lag1,0.0738
theftover,year_index,0.0497
theftfrommv,assault_lag1,0.0743
theftfrommv,autotheft_lag1,0.0453
theftfrommv,breakenter_lag1,0.0437
theftfrommv,robbery_lag1,0.1098
theftfrommv,theftover_lag1,0.2763
theftfrommv,theftfrommv_lag1,0.3349
theftfrommv,biketheft_lag1,0.0578
theftfrommv,year_index,0.0578
biketheft,assault_lag1,0.0294
biketheft,autotheft_lag1,0.0192
biketheft,breakenter_lag1,0.0114
biketheft,robbery_lag1,0.0167
biketheft,theftover_lag1,0.018
biketheft,theftfrommv_lag1,0.0228
biketheft,biketheft_lag1,0.8604
biketheft,year_index,0.022
